"행정구역","2026년08월_계_총인구수","2026년08월_계_연령구간인구수","2026년08월_계_0~4세","2026년08월_계_5~9세","2026년08월_계_10~14세","2026년08월_계_15~19세","2026년08월_계_20~24세","2026년08월_계_25~29세","2026년08월_계_30~34세","2026년08월_계_35~39세","2026년08월_계_40~44세","2026년08월_계_45~49세","2026년08월_계_50~54세","2026년08월_계_55~59세","2026년08월_계_60~64세","2026년08월_계_65~69세","2026년08월_계_70~74세","2026년08월_계_75~79세","2026년08월_계_80~84세","2026년08월_계_85~89세","2026년08월_계_90~94세","2026년08월_계_95~99세","2026년08월_계_100세 이상","2026년08월_남_총인구수","2026년08월_남_연령구간인구수","2026년08월_남_0~4세","2026년08월_남_5~9세","2026년08월_남_10~14세","2026년08월_남_15~19세","2026년08월_남_20~24세","2026년08월_남_25~29세","2026년08월_남_30~34세","2026년08월_남_35~39세","2026년08월_남_40~44세","2026년08월_남_45~49세","2026년08월_남_50~54세","2026년08월_남_55~59세","2026년08월_남_60~64세","2026년08월_남_65~69세","2026년08월_남_70~74세","2026년08월_남_75~79세","2026년08월_남_80~84세","2026년08월_남_85~89세","2026년08월_남_90~94세","2026년08월_남_95~99세","2026년08월_남_100세 이상","2026년08월_여_총인구수","2026년08월_여_연령구간인구수","2026년08월_여_0~4세","2026년08월_여_5~9세","2026년08월_여_10~14세","2026년08월_여_15~19세","2026년08월_여_20~24세","2026년08월_여_25~29세","2026년08월_여_30~34세","2026년08월_여_35~39세","2026년08월_여_40~44세","2026년08월_여_45~49세","2026년08월_여_50~54세","2026년08월_여_55~59세","2026년08월_여_60~64세","2026년08월_여_65~69세","2026년08월_여_70~74세","2026년08월_여_75~79세","2026년08월_여_80~84세","2026년08월_여_85~89세","2026년08월_여_90~94세","2026년08월_여_95~99세","2026년08월_여_100세 이상"
"대구광역시 수성구 (2726000000)","407,570","407,570","8,644","15,357","23,859","23,060","19,576","21,474","21,400","21,552","28,198","34,254","36,005","37,443","30,879","28,832","21,482","15,365","10,350","6,658","2,622","496","64","195,514","195,514","4,405","7,934","12,356","11,995","10,539","11,232","11,003","10,606","13,171","16,075","16,710","17,730","14,677","13,420","9,682","6,550","4,171","2,359","783","107","9","212,056","212,056","4,239","7,423","11,503","11,065","9,037","10,242","10,397","10,946","15,027","18,179","19,295","19,713","16,202","15,412","11,800","8,815","6,179","4,299","1,839","389","55"
"대구광역시 달서구 (2729000000)","512,577","512,577","10,924","15,269","23,322","24,968","25,781","30,416","32,585","28,497","31,981","38,526","43,651","49,345","45,103","42,263","29,027","18,857","11,715","7,251","2,591","458","47","250,575","250,575","5,613","7,846","11,853","12,723","13,317","16,059","17,504","15,399","16,104","18,736","21,008","23,444","21,582","20,005","13,260","8,331","4,660","2,381","653","85","12","262,002","262,002","5,311","7,423","11,469","12,245","12,464","14,357","15,081","13,098","15,877","19,790","22,643","25,901","23,521","22,258","15,767","10,526","7,055","4,870","1,938","373","35"
"대구광역시 달성군 (2771000000)","251,789","251,789","7,721","11,610","14,881","12,502","9,143","11,856","15,238","16,806","20,767","22,387","20,131","20,864","19,703","18,596","12,298","8,056","4,773","3,062","1,130","239","26","127,525","127,525","3,892","5,878","7,621","6,468","5,112","6,711","8,298","8,918","10,693","11,597","10,470","10,265","9,803","9,107","5,841","3,728","1,919","912","252","36","4","124,264","124,264","3,829","5,732","7,260","6,034","4,031","5,145","6,940","7,888","10,074","10,790","9,661","10,599","9,900","9,489","6,457","4,328","2,854","2,150","878","203","22"
"대구광역시 군위군 (2772000000)","22,493","22,493","215","223","336","460","386","496","571","552","680","917","1,336","2,126","2,868","3,439","2,690","2,007","1,506","1,125","475","84","1","11,747","11,747","114","135","186","254","224","294","350","324","374","528","779","1,195","1,615","1,886","1,410","977","600","365","119","18","0","10,746","10,746","101","88","150","206","162","202","221","228","306","389","557","931","1,253","1,553","1,280","1,030","906","760","356","66","1"
"인천광역시  (2800000000)","3,066,185","3,066,185","85,007","101,115","136,209","139,964","137,473","191,905","226,678","208,050","227,934","245,908","249,841","264,036","246,615","234,386","150,140","96,633","65,345","39,011","15,740","3,642","553","1,530,650","1,530,650","43,534","51,995","69,548","71,722","70,571","99,027","118,982","108,233","117,781","126,566","126,851","130,261","122,050","114,733","71,185","43,839","26,442","12,733","3,844","667","86","1,535,535","1,535,535","41,473","49,120","66,661","68,242","66,902","92,878","107,696","99,817","110,153","119,342","122,990","133,775","124,565","119,653","78,955","52,794","38,903","26,278","11,896","2,975","467"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 제물포구 (2812500000)","99,217","99,217","1,698","1,849","2,941","3,579","3,798","5,433","5,971","5,062","5,800","7,247","8,150","8,726","8,502","9,618","7,530","5,743","4,094","2,332","894","219","31","50,272","50,272","843","974","1,556","1,848","1,980","2,896","3,322","2,816","3,153","4,010","4,419","4,695","4,449","4,669","3,523","2,446","1,671","772","195","29","6","48,945","48,945","855","875","1,385","1,731","1,818","2,537","2,649","2,246","2,647","3,237","3,731","4,031","4,053","4,949","4,007","3,297","2,423","1,560","699","190","25"
"인천광역시 영종구 (2815500000)","138,659","138,659","5,595","6,035","7,319","6,659","6,338","11,786","13,146","12,050","12,194","12,588","11,140","9,577","7,339","6,536","4,474","2,690","1,816","943","339","81","14","71,759","71,759","2,881","3,148","3,690","3,373","3,001","6,021","7,013","6,511","6,467","6,625","6,116","5,147","3,780","3,318","2,151","1,287","795","336","82","13","4","66,900","66,900","2,714","2,887","3,629","3,286","3,337","5,765","6,133","5,539","5,727","5,963","5,024","4,430","3,559","3,218","2,323","1,403","1,021","607","257","68","10"
"인천광역시 미추홀구 (2817700000)","419,123","419,123","10,969","11,894","15,397","16,969","20,794","27,271","31,024","27,988","30,074","32,397","33,736","35,003","32,389","32,881","23,182","16,302","11,400","6,395","2,426","551","81","210,834","210,834","5,644","6,111","7,847","8,795","10,830","14,518","16,615","15,017","16,138","17,262","17,536","17,680","15,915","15,581","10,573","7,205","4,599","2,192","648","117","11","208,289","208,289","5,325","5,783","7,550","8,174","9,964","12,753","14,409","12,971","13,936","15,135","16,200","17,323","16,474","17,300","12,609","9,097","6,801","4,203","1,778","434","70"
"인천광역시 연수구 (2818500000)","410,369","410,369","13,789","18,279","24,578","22,980","19,724","24,209","27,987","29,038","34,766","36,355","34,595","33,565","29,701","25,925","14,914","8,567","5,754","3,645","1,543","388","67","202,990","202,990","7,070","9,287","12,459","11,816","10,160","12,507","14,229","14,196","16,973","17,989","17,062","16,409","14,548","13,016","7,417","3,840","2,415","1,155","357","79","6","207,379","207,379","6,719","8,992","12,119","11,164","9,564","11,702","13,758","14,842","17,793","18,366","17,533","17,156","15,153","12,909","7,497","4,727","3,339","2,490","1,186","309","61"
"인천광역시 남동구 (2820000000)","478,603","478,603","9,241","13,053","20,964","22,872","22,024","30,631","33,381","27,324","32,379","39,146","40,606","43,170","40,478","39,722","26,113","16,721","11,118","6,508","2,475","591","86","237,205","237,205","4,700","6,736","10,847","11,734","11,265","15,777","18,079","14,402","16,548","19,839","20,645","21,014","19,828","18,956","12,064","7,561","4,410","2,093","595","97","15","241,398","241,398","4,541","6,317","10,117","11,138","10,759","14,854","15,302","12,922","15,831","19,307","19,961","22,156","20,650","20,766","14,049","9,160","6,708","4,415","1,880","494","71"
"인천광역시 부평구 (2823700000)","487,282","487,282","12,192","13,218","17,879","19,909","20,738","31,571","39,325","34,102","33,858","36,123","38,441","43,455","42,197","40,345","25,800","16,653","11,181","6,895","2,710","606","84","239,078","239,078","6,313","6,816","9,057","10,325","10,559","15,738","20,433","17,879","17,500","18,344","18,892","20,630","20,447","19,352","11,818","7,453","4,495","2,216","695","105","11","248,204","248,204","5,879","6,402","8,822","9,584","10,179","15,833","18,892","16,223","16,358","17,779","19,549","22,825","21,750","20,993","13,982","9,200","6,686","4,679","2,015","501","73"
"인천광역시 계양구 (2824500000)","275,966","275,966","5,155","6,265","9,346","11,478","12,276","17,800","20,364","16,635","17,176","19,565","23,139","28,294","28,837","25,680","14,311","8,371","5,740","3,595","1,524","352","63","137,167","137,167","2,612","3,202","4,729","5,791","6,310","9,386","10,864","8,835","9,080","9,926","11,510","13,386","14,184","12,825","7,015","3,867","2,148","1,083","338","70","6","138,799","138,799","2,543","3,063","4,617","5,687","5,966","8,414","9,500","7,800","8,096","9,639","11,629","14,908","14,653","12,855","7,296","4,504","3,592","2,512","1,186","282","57"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 서해구 (2827500000)","392,072","392,072","11,487","14,641","19,751","18,722","17,094","25,195","30,536","27,892","31,458","32,594","31,830","33,735","31,179","28,118","16,551","9,757","6,126","3,546","1,454","349","57","197,117","197,117","5,886","7,576","10,222","9,496","8,597","12,861","16,036","14,294","16,124","16,809","16,173","16,787","15,494","14,146","8,109","4,562","2,481","1,082","304","68","10","194,955","194,955","5,601","7,065","9,529","9,226","8,497","12,334","14,500","13,598","15,334","15,785","15,657","16,948","15,685","13,972","8,442","5,195","3,645","2,464","1,150","281","47"
"인천광역시 검단구 (2829000000)","276,078","276,078","13,511","14,302","15,719","14,071","11,823","14,768","21,750","24,839","26,473","25,057","22,418","20,772","16,359","13,767","8,456","5,438","3,378","2,023","919","205","30","138,369","138,369","6,880","7,338","7,951","7,117","6,162","7,275","10,515","12,533","13,791","13,066","11,259","10,392","8,385","6,878","4,048","2,472","1,375","660","232","31","9","137,709","137,709","6,631","6,964","7,768","6,954","5,661","7,493","11,235","12,306","12,682","11,991","11,159","10,380","7,974","6,889","4,408","2,966","2,003","1,363","687","174","21"
"인천광역시 강화군 (2871000000)","69,541","69,541","1,138","1,329","1,956","2,229","1,926","2,134","2,336","2,413","2,972","3,804","4,520","5,992","7,448","9,289","6,906","5,179","3,892","2,616","1,219","220","23","34,849","34,849","597","676","999","1,159","1,058","1,237","1,263","1,294","1,514","2,032","2,469","3,095","3,787","4,629","3,471","2,535","1,679","961","342","46","6","34,692","34,692","541","653","957","1,070","868","897","1,073","1,119","1,458","1,772","2,051","2,897","3,661","4,660","3,435","2,644","2,213","1,655","877","174","17"
"인천광역시 옹진군 (2872000000)","19,275","19,275","232","250","359","496","938","1,107","858","707","784","1,032","1,266","1,747","2,186","2,505","1,903","1,212","846","513","237","80","17","11,010","11,010","108","131","191","268","649","811","613","456","493","664","770","1,026","1,233","1,363","996","611","374","183","56","12","2","8,265","8,265","124","119","168","228","289","296","245","251","291","368","496","721","953","1,142","907","601","472","330","181","68","15"
"대전광역시  (3000000000)","1,442,838","1,442,838","38,505","46,235","64,949","70,522","81,729","103,365","107,144","90,241","96,910","109,700","117,504","123,882","104,507","104,821","72,672","48,166","32,921","19,531","7,688","1,631","215","718,413","718,413","19,855","23,688","33,458","35,970","41,829","54,489","57,314","47,850","49,315","54,566","58,458","61,660","51,613","50,172","33,867","21,649","13,493","6,773","2,048","312","34","724,425","724,425","18,650","22,547","31,491","34,552","39,900","48,876","49,830","42,391","47,595","55,134","59,046","62,222","52,894","54,649","38,805","26,517","19,428","12,758","5,640","1,319","181"
"대전광역시 동구 (3011000000)","217,981","217,981","5,089","5,538","8,024","10,530","14,428","13,183","13,566","11,742","13,136","15,430","17,398","18,610","16,724","18,388","13,708","9,655","6,961","4,085","1,441","311","34","109,731","109,731","2,621","2,900","4,175","5,261","7,451","7,211","7,335","6,468","6,986","7,946","9,146","9,699","8,461","8,797","6,348","4,234","2,868","1,382","367","68","7","108,250","108,250","2,468","2,638","3,849","5,269","6,977","5,972","6,231","5,274","6,150","7,484","8,252","8,911","8,263","9,591","7,360","5,421","4,093","2,703","1,074","243","27"
"대전광역시 중구 (3014000000)","223,664","223,664","4,831","6,443","9,017","10,176","10,508","13,918","14,341","12,057","13,518","16,694","18,502","19,706","17,227","18,108","14,123","10,465","7,491","4,421","1,731","338","49","109,197","109,197","2,432","3,248","4,610","5,223","5,252","6,859","7,441","6,262","6,852","8,374","9,370","9,943","8,591","8,597","6,379","4,516","3,060","1,597","526","56","9","114,467","114,467","2,399","3,195","4,407","4,953","5,256","7,059","6,900","5,795","6,666","8,320","9,132","9,763","8,636","9,511","7,744","5,949","4,431","2,824","1,205","282","40"
"대전광역시 서구 (3017000000)","464,238","464,238","11,976","14,942","22,537","23,377","26,297","36,222","37,122","29,647","32,307","36,360","37,833","38,856","31,944","31,891","21,693","14,021","9,139","5,400","2,153","464","57","227,315","227,315","6,204","7,654","11,665","11,911","12,884","18,283","19,502","15,369","16,044","17,677","18,340","18,761","15,323","14,950","10,050","6,346","3,787","1,911","556","91","7","236,923","236,923","5,772","7,288","10,872","11,466","13,413","17,939","17,620","14,278","16,263","18,683","19,493","20,095","16,621","16,941","11,643","7,675","5,352","3,489","1,597","373","50"
"대전광역시 유성구 (3020000000)","373,361","373,361","13,212","15,433","19,550","19,253","22,537","29,955","31,567","28,094","28,571","29,842","29,793","29,666","23,668","21,483","13,361","7,630","4,951","3,073","1,375","303","44","189,210","189,210","6,839","7,955","10,017","9,843","11,889","16,580","17,106","14,846","14,390","14,647","14,629","14,621","11,719","10,480","6,531","3,656","2,036","1,030","330","59","7","184,151","184,151","6,373","7,478","9,533","9,410","10,648","13,375","14,461","13,248","14,181","15,195","15,164","15,045","11,949","11,003","6,830","3,974","2,915","2,043","1,045","244","37"
"대전광역시 대덕구 (3023000000)","163,594","163,594","3,397","3,879","5,821","7,186","7,959","10,087","10,548","8,701","9,378","11,374","13,978","17,044","14,944","14,951","9,787","6,395","4,379","2,552","988","215","31","82,960","82,960","1,759","1,931","2,991","3,732","4,353","5,556","5,930","4,905","5,043","5,922","6,973","8,636","7,519","7,348","4,559","2,897","1,742","853","269","38","4","80,634","80,634","1,638","1,948","2,830","3,454","3,606","4,531","4,618","3,796","4,335","5,452","7,005","8,408","7,425","7,603","5,228","3,498","2,637","1,699","719","177","27"
"울산광역시  (3100000000)","1,086,373","1,086,373","27,248","37,339","54,649","54,143","43,756","62,218","71,119","65,895","77,553","89,224","91,133","103,454","94,760","87,446","56,694","34,347","19,796","10,821","3,922","756","100","560,121","560,121","13,893","19,123","28,113","28,384","24,970","36,278","40,328","35,961","40,323","46,524","45,830","51,415","48,871","43,475","27,445","16,341","8,241","3,584","892","121","9","526,252","526,252","13,355","18,216","26,536","25,759","18,786","25,940","30,791","29,934","37,230","42,700","45,303","52,039","45,889","43,971","29,249","18,006","11,555","7,237","3,030","635","91"
"울산광역시 중구 (3111000000)","202,545","202,545","4,588","6,496","9,323","9,433","7,215","10,813","12,736","11,717","13,553","15,738","16,410","19,365","18,587","18,038","12,510","7,932","4,687","2,411","832","149","12","102,325","102,325","2,355","3,346","4,824","4,977","4,153","6,094","7,066","6,255","7,040","8,154","8,187","9,406","9,368","8,691","5,781","3,618","1,941","832","220","17","0","100,220","100,220","2,233","3,150","4,499","4,456","3,062","4,719","5,670","5,462","6,513","7,584","8,223","9,959","9,219","9,347","6,729","4,314","2,746","1,579","612","132","12"
"울산광역시 남구 (3114000000)","304,655","304,655","7,654","10,013","14,023","13,846","13,176","19,898","23,064","19,961","21,142","23,385","24,995","29,715","26,272","23,710","15,485","9,348","5,139","2,727","922","152","28","156,022","156,022","3,959","5,124","7,229","7,312","7,417","11,472","13,027","10,926","10,929","11,964","12,022","14,591","13,310","11,547","7,431","4,363","2,171","958","239","29","2","148,633","148,633","3,695","4,889","6,794","6,534","5,759","8,426","10,037","9,035","10,213","11,421","12,973","15,124","12,962","12,163","8,054","4,985","2,968","1,769","683","123","26"
"울산광역시 동구 (3117000000)","147,440","147,440","3,192","5,117","8,196","7,986","5,739","8,043","8,220","8,439","12,176","13,487","11,963","11,993","11,793","13,234","8,635","5,028","2,530","1,187","401","67","14","77,264","77,264","1,624","2,614","4,177","4,227","3,253","4,669","4,847","4,791","6,527","7,362","6,516","6,118","5,816","6,294","4,263","2,546","1,129","405","77","9","0","70,176","70,176","1,568","2,503","4,019","3,759","2,486","3,374","3,373","3,648","5,649","6,125","5,447","5,875","5,977","6,940","4,372","2,482","1,401","782","324","58","14"
"울산광역시 북구 (3120000000)","213,391","213,391","6,688","9,404","13,352","12,184","8,228","12,123","14,634","14,476","17,321","19,852","17,825","19,641","17,685","13,372","7,507","4,354","2,585","1,460","560","125","15","111,159","111,159","3,435","4,797","6,891","6,327","4,783","7,454","8,330","7,852","8,746","10,257","8,980","9,493","9,434","6,980","3,715","2,045","1,069","451","99","17","4","102,232","102,232","3,253","4,607","6,461","5,857","3,445","4,669","6,304","6,624","8,575","9,595","8,845","10,148","8,251","6,392","3,792","2,309","1,516","1,009","461","108","11"
"울산광역시 울주군 (3171000000)","218,342","218,342","5,126","6,309","9,755","10,694","9,398","11,341","12,465","11,302","13,361","16,762","19,940","22,740","20,423","19,092","12,557","7,685","4,855","3,036","1,207","263","31","113,351","113,351","2,520","3,242","4,992","5,541","5,364","6,589","7,058","6,137","7,081","8,787","10,125","11,807","10,943","9,963","6,255","3,769","1,931","938","257","49","3","104,991","104,991","2,606","3,067","4,763","5,153","4,034","4,752","5,407","5,165","6,280","7,975","9,815","10,933","9,480","9,129","6,302","3,916","2,924","2,098","950","214","28"
"세종특별자치시  (3600000000)","390,738","390,738","15,323","21,627","28,526","25,736","17,397","18,678","26,434","30,085","36,581","39,102","33,238","27,083","20,543","19,347","12,826","7,894","5,126","3,295","1,509","352","36","194,589","194,589","7,753","11,021","14,617","12,904","9,239","9,384","13,184","14,838","17,738","19,223","17,219","13,998","10,398","9,423","6,262","3,720","2,136","1,106","355","64","7","196,149","196,149","7,570","10,606","13,909","12,832","8,158","9,294","13,250","15,247","18,843","19,879","16,019","13,085","10,145","9,924","6,564","4,174","2,990","2,189","1,154","288","29"
"세종특별자치시  (3611000000)","390,738","390,738","15,323","21,627","28,526","25,736","17,397","18,678","26,434","30,085","36,581","39,102","33,238","27,083","20,543","19,347","12,826","7,894","5,126","3,295","1,509","352","36","194,589","194,589","7,753","11,021","14,617","12,904","9,239","9,384","13,184","14,838","17,738","19,223","17,219","13,998","10,398","9,423","6,262","3,720","2,136","1,106","355","64","7","196,149","196,149","7,570","10,606","13,909","12,832","8,158","9,294","13,250","15,247","18,843","19,879","16,019","13,085","10,145","9,924","6,564","4,174","2,990","2,189","1,154","288","29"
"경기도  (4100000000)","13,773,918","13,773,918","390,077","477,880","654,640","674,379","642,309","875,702","1,009,009","932,125","1,035,692","1,129,712","1,162,420","1,195,238","1,037,775","965,228","630,839","407,400","289,262","177,709","69,132","15,227","2,163","6,914,277","6,914,277","199,987","244,534","333,821","345,139","333,172","459,625","535,146","483,342","531,888","574,413","587,873","596,558","523,409","477,117","301,127","183,968","118,711","62,172","18,795","3,056","424","6,859,641","6,859,641","190,090","233,346","320,819","329,240","309,137","416,077","473,863","448,783","503,804","555,299","574,547","598,680","514,366","488,111","329,712","223,432","170,551","115,537","50,337","12,171","1,739"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,185,677","1,185,677","32,765","37,781","53,133","56,663","64,160","93,885","103,814","85,818","86,877","95,211","97,907","101,442","85,365","75,081","46,635","29,845","20,782","12,532","4,816","1,006","159","594,853","594,853","16,734","19,453","27,316","29,128","33,073","48,951","55,422","45,129","44,552","47,972","48,758","49,723","42,619","37,023","21,709","13,162","8,319","4,305","1,288","190","27","590,824","590,824","16,031","18,328","25,817","27,535","31,087","44,934","48,392","40,689","42,325","47,239","49,149","51,719","42,746","38,058","24,926","16,683","12,463","8,227","3,528","816","132"
"경기도 수원시 장안구 (4111100000)","269,717","269,717","5,964","7,315","11,156","13,499","16,465","20,480","19,672","15,982","16,893","20,605","23,307","25,477","21,548","19,302","12,210","8,170","6,067","3,730","1,513","324","38","135,244","135,244","3,070","3,672","5,747","6,977","8,855","11,407","10,570","8,441","8,613","10,169","11,500","12,442","10,893","9,505","5,636","3,552","2,386","1,339","405","58","7","134,473","134,473","2,894","3,643","5,409","6,522","7,610","9,073","9,102","7,541","8,280","10,436","11,807","13,035","10,655","9,797","6,574","4,618","3,681","2,391","1,108","266","31"
"경기도 수원시 권선구 (4111300000)","360,795","360,795","9,672","10,708","15,710","15,915","16,822","26,790","32,089","26,044","26,774","28,778","29,152","31,715","28,353","25,353","15,600","9,559","6,304","3,728","1,401","286","42","181,791","181,791","4,984","5,537","8,066","8,146","8,560","13,689","17,338","13,976","14,025","14,951","14,643","15,355","14,104","12,478","7,366","4,349","2,551","1,225","382","60","6","179,004","179,004","4,688","5,171","7,644","7,769","8,262","13,101","14,751","12,068","12,749","13,827","14,509","16,360","14,249","12,875","8,234","5,210","3,753","2,503","1,019","226","36"
"경기도 수원시 팔달구 (4111500000)","193,282","193,282","4,851","5,243","5,989","7,109","10,464","17,106","18,552","14,318","12,949","13,471","15,304","16,487","14,334","13,613","9,222","6,201","4,338","2,594","926","169","42","96,921","96,921","2,459","2,707","3,024","3,658","5,207","8,592","10,026","7,772","6,931","6,955","7,723","8,241","7,188","6,638","4,173","2,663","1,781","889","253","35","6","96,361","96,361","2,392","2,536","2,965","3,451","5,257","8,514","8,526","6,546","6,018","6,516","7,581","8,246","7,146","6,975","5,049","3,538","2,557","1,705","673","134","36"
"경기도 수원시 영통구 (4111700000)","361,883","361,883","12,278","14,515","20,278","20,140","20,409","29,509","33,501","29,474","30,261","32,357","30,144","27,763","21,130","16,813","9,603","5,915","4,073","2,480","976","227","37","180,897","180,897","6,221","7,537","10,479","10,347","10,451","15,263","17,488","14,940","14,983","15,897","14,892","13,685","10,434","8,402","4,534","2,598","1,601","852","248","37","8","180,986","180,986","6,057","6,978","9,799","9,793","9,958","14,246","16,013","14,534","15,278","16,460","15,252","14,078","10,696","8,411","5,069","3,317","2,472","1,628","728","190","29"
"경기도 성남시 (4113000000)","899,806","899,806","24,546","28,969","39,543","40,786","40,980","59,914","69,742","64,238","67,602","71,729","73,386","75,807","65,531","64,857","44,255","29,631","20,266","12,013","4,729","1,127","155","444,192","444,192","12,563","14,718","20,217","20,758","20,811","30,485","36,539","32,603","33,821","35,413","36,261","37,709","32,258","31,377","20,892","13,206","8,492","4,441","1,346","244","38","455,614","455,614","11,983","14,251","19,326","20,028","20,169","29,429","33,203","31,635","33,781","36,316","37,125","38,098","33,273","33,480","23,363","16,425","11,774","7,572","3,383","883","117"
"경기도 성남시 수정구 (4113100000)","234,948","234,948","6,579","6,706","7,667","8,407","10,854","16,137","19,188","17,355","16,989","17,056","17,993","20,061","18,626","19,025","13,359","8,908","5,696","3,013","1,052","246","31","118,665","118,665","3,367","3,421","3,859","4,261","5,606","8,531","10,293","9,248","9,019","8,954","9,307","10,242","9,418","9,194","6,275","3,949","2,358","1,042","269","44","8","116,283","116,283","3,212","3,285","3,808","4,146","5,248","7,606","8,895","8,107","7,970","8,102","8,686","9,819","9,208","9,831","7,084","4,959","3,338","1,971","783","202","23"
"경기도 성남시 중원구 (4113300000)","198,233","198,233","4,757","4,837","6,379","7,202","8,482","13,832","16,578","14,004","13,840","14,125","15,304","17,210","16,503","17,138","11,519","7,688","4,945","2,720","932","199","39","99,758","99,758","2,381","2,473","3,311","3,708","4,298","7,128","8,990","7,601","7,355","7,395","7,880","8,636","8,118","8,355","5,398","3,463","2,055","928","247","30","8","98,475","98,475","2,376","2,364","3,068","3,494","4,184","6,704","7,588","6,403","6,485","6,730","7,424","8,574","8,385","8,783","6,121","4,225","2,890","1,792","685","169","31"
"경기도 성남시 분당구 (4113500000)","466,625","466,625","13,210","17,426","25,497","25,177","21,644","29,945","33,976","32,879","36,773","40,548","40,089","38,536","30,402","28,694","19,377","13,035","9,625","6,280","2,745","682","85","225,769","225,769","6,815","8,824","13,047","12,789","10,907","14,826","17,256","15,754","17,447","19,064","19,074","18,831","14,722","13,828","9,219","5,794","4,079","2,471","830","170","22","240,856","240,856","6,395","8,602","12,450","12,388","10,737","15,119","16,720","17,125","19,326","21,484","21,015","19,705","15,680","14,866","10,158","7,241","5,546","3,809","1,915","512","63"
"경기도 의정부시 (4115000000)","461,977","461,977","11,670","14,442","19,033","20,415","22,146","29,728","32,266","28,721","32,164","35,225","38,960","42,409","37,489","35,297","23,674","16,156","11,874","7,200","2,507","536","65","226,540","226,540","5,946","7,489","9,741","10,581","11,079","14,689","16,729","14,777","16,627","17,938","19,105","20,644","18,287","16,979","10,849","6,985","4,759","2,523","691","111","11","235,437","235,437","5,724","6,953","9,292","9,834","11,067","15,039","15,537","13,944","15,537","17,287","19,855","21,765","19,202","18,318","12,825","9,171","7,115","4,677","1,816","425","54"
"경기도 안양시 (4117000000)","562,007","562,007","17,450","17,606","23,813","24,750","25,472","36,007","45,508","42,352","41,130","41,602","44,440","48,218","43,895","43,226","27,772","17,087","11,244","6,934","2,793","629","79","276,806","276,806","9,034","8,917","12,167","12,642","13,069","18,392","23,411","21,876","21,183","20,661","21,615","23,092","21,131","20,606","13,411","7,850","4,620","2,326","666","122","15","285,201","285,201","8,416","8,689","11,646","12,108","12,403","17,615","22,097","20,476","19,947","20,941","22,825","25,126","22,764","22,620","14,361","9,237","6,624","4,608","2,127","507","64"
"경기도 안양시 만안구 (4117100000)","234,085","234,085","6,598","5,817","7,354","8,721","10,605","15,398","19,039","16,637","15,391","15,755","17,654","21,054","20,318","20,537","13,578","8,737","5,810","3,452","1,319","268","43","116,499","116,499","3,388","2,924","3,814","4,462","5,405","7,973","10,012","8,865","8,233","8,162","8,793","10,106","9,982","9,823","6,512","4,060","2,416","1,161","346","55","7","117,586","117,586","3,210","2,893","3,540","4,259","5,200","7,425","9,027","7,772","7,158","7,593","8,861","10,948","10,336","10,714","7,066","4,677","3,394","2,291","973","213","36"
"경기도 안양시 동안구 (4117300000)","327,922","327,922","10,852","11,789","16,459","16,029","14,867","20,609","26,469","25,715","25,739","25,847","26,786","27,164","23,577","22,689","14,194","8,350","5,434","3,482","1,474","361","36","160,307","160,307","5,646","5,993","8,353","8,180","7,664","10,419","13,399","13,011","12,950","12,499","12,822","12,986","11,149","10,783","6,899","3,790","2,204","1,165","320","67","8","167,615","167,615","5,206","5,796","8,106","7,849","7,203","10,190","13,070","12,704","12,789","13,348","13,964","14,178","12,428","11,906","7,295","4,560","3,230","2,317","1,154","294","28"
"경기도 부천시 (4119000000)","754,159","754,159","16,555","20,745","29,031","32,035","33,576","48,305","55,238","48,937","52,547","56,911","61,290","69,347","66,693","66,255","41,487","25,069","15,985","9,451","3,688","900","114","370,968","370,968","8,423","10,660","14,930","16,367","16,968","24,276","28,863","25,253","26,970","28,655","30,517","33,159","32,062","31,919","19,707","11,528","6,523","3,103","897","173","15","383,191","383,191","8,132","10,085","14,101","15,668","16,608","24,029","26,375","23,684","25,577","28,256","30,773","36,188","34,631","34,336","21,780","13,541","9,462","6,348","2,791","727","99"
